date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2021-09-13,0,0,0,1,0,0,0,1,,,,9.25%,3725,10
2021-11-19,0,0,0,1,0,0,0,1,,,,9.25%,3725,10
2021-12-22,0,0,0,1,0,0,0,1,,,,9.25%,3725,10
2022-01-20,0,0,0,1,0,0,0,1,,,,9.25%,3725,10
2022-03-15,0,0,0,1,0,0,0,1,,,,9.25%,3725,10
2022-04-25,0,0,0,1,0,0,0,1,,,,9.25%,3725,10
2022-06-01,0,0,0,1,0,0,0,1,,,,9.25%,3725,10
2022-07-09,0,0,0,1,0,0,0,1,,,,9.25%,3725,10
2022-08-08,0,0,0,1,0,0,0,1,,,,9.25%,3725,10
2022-09-15,0,0,0,1,0,0,0,1,,,,9.25%,3725,10
2022-10-25,0,0,0,1,0,0,0,1,,,,9.25%,3725,10
2022-11-25,0,0,0,1,0,0,0,1,,,,9.25%,3725,10
2022-12-29,0,0,0,1,0,0,0,1,,,,9.23%,3689,10
2023-02-03,0,0,0,1,0,0,0,1,,,,9.23%,3689,10
2023-03-29,0,0,0,1,0,0,0,1,,,,9.23%,3689,10
