date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-09-22,0,0,0,0,0,0,0,0,,,,,23,1
2019-10-27,0,0,0,0,0,0,0,0,,,,,23,1
2019-12-15,0,0,0,0,0,0,0,0,,,,,44,2
2020-02-16,0,0,0,0,0,0,0,0,,,,,44,2
2020-05-02,0,0,0,0,0,0,0,0,,,,,44,2
2020-05-31,0,0,0,0,0,0,0,0,,,,,44,2
2020-07-19,0,0,0,0,0,0,0,0,,,,,44,2
2020-08-30,0,0,0,0,0,0,0,0,,,,,46,2
2020-10-13,0,0,0,0,0,0,0,0,,,,,79,3
2020-11-28,0,0,0,0,0,0,0,0,,,,,79,3
2021-01-04,0,0,0,0,0,0,0,0,,,,,79,3
2021-02-11,0,0,0,0,0,0,0,0,,,,,79,3
2021-03-14,0,0,0,0,0,0,0,0,,,,,79,3
2021-05-15,0,0,0,0,0,0,0,0,,,,,79,3
2021-10-17,0,0,0,0,0,0,0,0,,,,,79,3
2022-01-03,0,0,0,0,0,0,0,0,,,,,79,3
2022-02-02,0,0,0,0,0,0,0,0,,,,,79,3
2022-03-19,0,0,0,0,0,0,0,0,,,,,79,3
2022-06-24,0,0,0,0,0,0,0,0,,,,,46,2
2022-08-06,0,0,0,0,0,0,0,0,,,,,46,2
2022-09-10,0,0,0,0,0,0,0,0,,,,,46,2
2023-01-17,0,0,0,0,0,0,0,0,,,,,46,2
2023-04-01,0,0,0,0,0,0,0,0,,,,,46,2
