date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2021-06-10,0,0,0,1,0,0,0,1,,,,100.00%,354,8
2021-07-14,0,0,0,1,0,0,0,1,,,,98.63%,538,9
2021-09-14,0,0,0,1,0,0,0,1,,,,98.63%,538,9
2021-10-14,0,0,0,1,0,0,0,1,,,,98.63%,538,9
2021-12-14,0,1,0,1,0,0,0,2,,,,98.63%,538,9
2022-01-13,0,0,0,1,0,0,0,1,,,,98.63%,538,9
2022-02-14,0,0,0,1,0,0,0,1,,,,98.63%,538,9
2022-03-15,0,0,0,1,0,0,0,1,,,,98.63%,538,9
2022-04-24,0,0,0,1,0,0,0,1,,,,98.63%,538,9
2022-05-28,0,0,0,1,0,0,0,1,,,,98.63%,538,9
2022-07-20,0,0,0,1,0,0,0,1,,,,98.63%,538,9
2022-09-21,0,1,0,1,0,0,0,2,,,,98.63%,538,9
2022-11-17,0,0,0,1,0,0,0,1,,,,98.63%,538,9
2023-01-18,0,0,0,1,0,0,0,1,,,,98.63%,538,9
2023-03-26,0,0,0,1,0,0,0,1,,,,98.63%,538,9
2023-05-11,0,0,0,1,0,0,0,1,,,,98.63%,538,9
