date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-10-29,0,0,0,0,0,0,0,0,,,,67.92%,150,3
2018-11-28,0,0,0,0,0,0,0,0,,,,67.92%,150,3
2019-05-05,0,0,0,0,0,0,0,0,,,,67.92%,150,3
2019-06-05,0,0,0,0,0,0,0,0,,,,79.91%,176,3
2019-09-06,0,0,0,0,0,0,0,0,,,,79.91%,176,3
2019-12-04,0,0,0,0,0,0,0,0,,,,79.91%,176,3
2020-01-10,0,0,0,0,0,0,0,0,,,,79.91%,176,3
2020-02-09,0,0,0,0,0,0,0,0,,,,79.65%,214,3
2020-03-19,0,0,0,0,0,0,0,0,,,,76.79%,217,3
2020-05-06,0,0,0,0,0,0,0,0,,,,76.79%,217,3
2020-07-04,0,0,0,0,0,0,0,0,,,,76.79%,217,3
2020-09-25,0,0,0,0,0,0,0,0,,,,76.79%,217,3
2020-11-21,0,0,0,0,0,0,0,0,,,,76.79%,217,3
2020-12-31,0,0,0,0,0,0,0,0,,,,75.23%,217,3
2021-03-05,0,0,0,0,0,0,0,0,,,,75.23%,217,3
2021-04-07,0,0,0,0,0,0,0,0,,,,75.23%,217,3
2021-05-12,0,0,0,0,0,0,0,0,,,,75.23%,217,3
2021-06-10,0,0,0,1,1,0,0,2,,,,59.27%,1222,38
2021-07-14,0,0,0,1,1,0,0,2,,,,59.65%,1259,38
2021-09-14,0,0,0,1,1,0,0,2,,,,59.65%,1259,38
2021-10-14,0,0,0,1,1,0,0,2,,,,59.65%,1259,38
2021-12-14,0,0,0,1,1,0,0,2,,,,62.34%,1259,38
2022-01-13,0,0,0,1,1,0,0,2,,,,62.73%,1248,38
2022-02-14,0,0,0,0,1,0,0,1,,,,34.05%,1623,44
2022-03-15,0,0,0,0,1,0,0,1,,,,24.90%,1393,42
2022-04-24,0,0,0,0,1,0,0,1,,,,24.95%,1393,42
2022-05-28,0,0,0,0,1,0,0,1,,,,28.74%,1393,42
2022-07-20,0,0,0,0,1,0,0,1,,,,28.74%,1393,42
2022-09-21,0,0,0,0,1,0,0,1,,,,28.74%,1393,42
2022-11-17,0,0,0,0,1,0,0,1,,,,28.85%,1393,42
2023-01-18,0,0,0,0,1,0,0,1,,,,28.85%,1393,42
2023-03-26,0,0,0,0,1,0,0,1,,,,28.85%,1393,42
2023-05-11,0,0,0,0,1,0,0,1,,,,28.85%,1393,42
