date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2019-06-06,0,2,0,0,0,0,0,2,,,,68.71%,182,1
2019-07-05,0,2,0,0,0,0,0,2,,,,61.15%,182,1
2019-08-03,0,2,0,0,0,0,0,2,,,,61.15%,182,1
2019-09-02,0,2,0,0,0,0,0,2,,,,64.62%,182,1
2019-10-07,0,2,0,0,0,0,0,2,,,,68.71%,182,1
2019-11-05,0,2,0,0,0,0,0,2,,,,65.44%,182,1
2019-12-06,0,2,0,0,0,0,0,2,,,,65.44%,182,1
2020-01-06,0,2,0,0,0,0,0,2,,,,65.44%,182,1
2020-02-04,0,2,0,0,0,0,0,2,,,,65.44%,182,1
2020-03-04,0,2,0,0,0,0,0,2,,,,65.44%,182,1
